,Character_1,Character_2,Win_Probability
650,8061,1711,-1
651,3053,570,-1
652,5057,6348,1
653,6063,7836,-1
654,1280,10252,1
655,4713,1713,1
656,6810,3069,1
657,3544,6502,-1
658,8061,10764,-1
659,8536,6415,-1
660,9313,4314,-1
661,9222,8725,1
662,8725,9349,1
663,11422,3592,1
664,8906,1803,1
665,2617,6196,0
666,11797,4693,-1
667,6827,5579,1
668,4349,10833,0
669,9600,9283,1
670,3008,9899,1
671,5697,10732,1
672,8819,808,1
673,570,4784,-1
674,9283,11518,1
675,9283,3598,1
676,12038,5675,1
677,8033,11197,0
678,11456,108,-1
679,10121,8323,-1
680,7677,11177,1
681,8061,4693,0
682,9642,2286,1
683,8138,4100,-1
684,8699,3166,1
685,8699,3166,1
686,5992,12054,-1
687,7637,4072,1
688,981,12054,1
689,11744,2958,1
690,11744,11913,-1
691,7176,11913,1
692,3209,2624,1
693,2617,2624,1
694,4458,10080,-1
695,637,8854,-1
696,4376,4713,0
697,5004,8545,-1
698,1949,10833,-1
699,1280,10833,-1
700,9193,10833,-1
701,10331,10833,0
702,9452,1221,-1
703,8672,6965,0
704,8906,3244,0
705,9552,3244,-1
706,4619,3244,1
707,6246,3244,-1
708,4487,415,1
709,8248,10112,1
710,61,10112,1
711,6059,10112,1
712,2504,10112,1
713,8906,10112,1
714,10112,7874,-1
715,8355,4057,-1
716,6600,57,0
717,8125,8125,1
718,11769,6347,1
719,3598,5058,1
720,11403,5058,1
721,772,2614,1
722,8906,11797,1
723,8906,4100,1
724,6105,2302,1
725,3613,11881,-1
726,4852,2958,1
727,9349,7861,1
728,569,5519,-1
729,11371,2064,-1
730,61,1390,1
731,10112,1390,0
732,3261,11309,0
733,5517,10728,1
734,11422,57,1
735,11422,4349,1
736,8699,4349,-1
737,11494,4349,-1
738,11422,4693,1
739,2720,4693,1
740,3069,3261,-1
741,7176,4100,1
742,4487,9016,1
743,7846,9016,-1
744,9313,9016,1
745,11518,2857,1
746,7298,11518,-1
747,8699,9836,1
