Character_1,Character_2,Win_Probability
6615,8887,-1
6117,5071,-1
7400,1313,-1
930,9895,1
1973,1725,1
4008,4948,-1
7302,3913,-1
11337,102,1
5589,10671,1
2543,9407,1
7813,6638,1
4378,3159,0
9786,7750,-1
9260,11030,1
6077,3175,1
1017,152,-1
8162,10413,1
329,1630,1
3362,2867,1
1687,3481,-1
8277,6676,1
3046,10365,-1
7732,3140,-1
4921,3728,-1
1172,8123,1
9325,3062,1
7440,7838,-1
2439,6519,1
3066,6373,1
1386,11231,-1
8188,6566,1
8188,9125,1
11910,1505,1
6718,1095,1
8117,11727,-1
558,558,1
7726,3629,-1
7802,8887,-1
7940,7726,1
1575,11084,1
1997,350,-1
8460,4354,0
2496,5516,1
5352,6613,1
5528,9983,-1
11609,779,1
1202,7100,1
6774,7956,1
558,6957,1
1305,11653,1
1172,168,-1
1773,6883,0
4524,11030,-1
10285,695,-1
9511,8861,1
6181,4098,-1
2611,3761,1
8793,6850,1
226,6081,-1
9312,1385,1
5298,4593,1
11943,1728,-1
10380,10877,-1
1575,8388,0
3309,3435,0
8651,1095,-1
3191,222,1
1515,2744,1
1793,6722,1
7632,7700,1
6566,1521,-1
11655,3759,1
7400,4833,1
4373,10904,1
5383,1357,1
1233,4515,-1
6181,3785,0
10916,658,-1
10287,1740,1
9598,9895,1
11106,10241,1
8948,9926,-1
8422,4264,-1
103,558,-1
128,3718,-1
6589,3782,0
9144,5053,-1
324,5589,-1
2867,6631,0
9289,10199,1
9017,168,-1
3277,5917,1
10064,3319,-1
5501,7152,1
11484,10916,-1
4098,4098,1
324,9665,-1
8675,4213,1
5298,4948,0
9786,2004,-1
7567,5179,-1
3714,10789,-1
1505,1505,-1
11359,9386,1
4687,6887,1
1093,10849,-1
1716,8450,-1
8803,3006,-1
5207,5207,1
6008,6008,1
118,7945,1
8604,3913,-1
177,9228,-1
4615,2749,0
1886,3568,-1
9380,1128,1
1775,11732,1
6117,1314,1
2496,371,1
9096,1528,-1
131,12,1
2329,7590,1
7005,1521,0
7400,11875,1
5623,2500,1
1505,9017,-1
1396,5725,-1
5068,558,-1
4944,3526,-1
9442,2115,0
4299,10886,-1
4882,5523,-1
7487,11395,0
494,9855,1
9118,9895,1
10546,1305,-1
10115,8457,-1
3722,5709,-1
103,5899,1
5383,6887,1
4687,4687,1
10498,1925,-1
5962,11815,1
9386,4232,-1
1457,11825,-1
3212,8378,1
9879,3303,1
3699,8388,1
1716,1648,1
11910,6790,0
10046,10268,-1
3629,3629,1
706,1630,1
5605,1630,1
1498,6902,-1
1202,1457,-1
7765,1630,1
4161,1630,1
6361,1630,1
1478,1630,1
11064,1630,0
950,11569,1
1851,1851,1
4264,4264,-1
8141,11569,-1
567,2244,-1
4702,1172,-1
3293,1916,0
11482,1949,1
7587,2611,-1
9862,1095,-1
9609,4400,1
10046,4264,-1
706,4531,1
5356,5516,1
3551,3526,1
4535,4535,1
6020,2065,1
8205,1470,-1
569,82,-1
3551,2195,-1
5451,9659,-1
8188,3159,-1
2867,7956,1
567,9524,0
11655,6499,1
6975,4460,-1
4531,7906,1
3,2867,-1
131,2749,1
9826,4615,-1
2955,5852,1
6863,12070,-1
8450,1521,0
7149,6866,1
6706,3175,-1
5298,1791,1
4535,9524,0
9059,11643,-1
9895,4460,1
6298,8514,1
11877,2500,-1
2955,2459,-1
558,4264,0
4519,905,0
6298,3758,1
8124,5523,-1
9659,11943,0
10526,11546,1
3293,2781,0
6140,9308,1
1305,2893,-1
6361,4460,-1
5589,10413,-1
10760,6366,-1
7670,9966,-1
794,9966,1
11179,7339,1
6008,5068,1
7099,11213,0
7922,3526,1
4535,4666,1
4046,2500,1
4921,1470,1
7005,6278,0
3402,8457,-1
6410,2115,-1
5382,5899,1
11910,10849,-1
10968,9704,-1
10847,8086,-1
1439,1630,0
12060,11368,1
10697,8793,-1
4571,9131,-1
5489,4524,1
955,8874,1
11337,8948,1
8651,2137,1
11484,2781,0
168,5523,-1
2900,2137,1
8188,11910,1
9918,4948,-1
9659,6887,1
10219,10219,1
4186,7462,1
4050,2137,-1
7821,2137,-1
4856,5683,-1
9965,11118,1
1833,3669,-1
9,5589,0
11910,1202,-1
8651,8518,1
